"filename", "language", "Python", "TOML", "Properties", "Markdown", "Shell Script", "Rust", "YAML", "comment", "blank", "total"
"/home/vincent/hyper-simulation/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/vincent/hyper-simulation/GET_PATH_DESCRIPTION_IMPLEMENTATION.md", "Markdown", 0, 0, 0, 190, 0, 0, 0, 0, 64, 254
"/home/vincent/hyper-simulation/IMPLEMENTATION_CODE.md", "Markdown", 0, 0, 0, 201, 0, 0, 0, 0, 58, 259
"/home/vincent/hyper-simulation/NLI_TRUNCATION_IMPLEMENTATION.md", "Markdown", 0, 0, 0, 82, 0, 0, 0, 0, 27, 109
"/home/vincent/hyper-simulation/README.md", "Markdown", 0, 0, 0, 36, 0, 0, 0, 0, 12, 48
"/home/vincent/hyper-simulation/check_arc.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/vincent/hyper-simulation/debug_counts.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/home/vincent/hyper-simulation/debug_within_group_path.py", "Python", 23, 0, 0, 0, 0, 0, 0, 9, 11, 43
"/home/vincent/hyper-simulation/docs/guidance/2026-02-04.md", "Markdown", 0, 0, 0, 37, 0, 0, 0, 0, 13, 50
"/home/vincent/hyper-simulation/docs/guidance/2026-02-05.md", "Markdown", 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"/home/vincent/hyper-simulation/docs/guidance/2026-02-09.md", "Markdown", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"/home/vincent/hyper-simulation/docs/guidance/2026-03-12.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 0, 8, 25
"/home/vincent/hyper-simulation/docs/issue/2026-02-09.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"/home/vincent/hyper-simulation/docs/issue/出现自环.md", "Markdown", 0, 0, 0, 13, 0, 0, 0, 0, 7, 20
"/home/vincent/hyper-simulation/docs/spacy.md", "Markdown", 0, 0, 0, 288, 0, 0, 0, 0, 43, 331
"/home/vincent/hyper-simulation/docs/todo/hypergraph.md", "Markdown", 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"/home/vincent/hyper-simulation/docs/update/2026-02-12.md", "Markdown", 0, 0, 0, 5, 0, 0, 0, 0, 6, 11
"/home/vincent/hyper-simulation/find_missing.py", "Python", 21, 0, 0, 0, 0, 0, 0, 4, 8, 33
"/home/vincent/hyper-simulation/fix_arc.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/home/vincent/hyper-simulation/fix_arc2.py", "Python", 20, 0, 0, 0, 0, 0, 0, 1, 4, 25
"/home/vincent/hyper-simulation/fix_arc3.py", "Python", 26, 0, 0, 0, 0, 0, 0, 1, 7, 34
"/home/vincent/hyper-simulation/pixi.toml", "TOML", 0, 152, 0, 0, 0, 0, 0, 0, 11, 163
"/home/vincent/hyper-simulation/pyproject.toml", "TOML", 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"/home/vincent/hyper-simulation/scripts/base_line.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 7, 0, 8
"/home/vincent/hyper-simulation/scripts/build_hypergraph.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/vincent/hyper-simulation/scripts/cdit.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/vincent/hyper-simulation/scripts/generate_embs.sh", "Shell Script", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"/home/vincent/hyper-simulation/scripts/hypergragh.sh", "Shell Script", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/home/vincent/hyper-simulation/scripts/save.sh", "Shell Script", 0, 0, 0, 0, 40, 0, 0, 8, 12, 60
"/home/vincent/hyper-simulation/simulation/.github/workflows/ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 24, 0, 8, 32
"/home/vincent/hyper-simulation/simulation/Cargo.toml", "TOML", 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"/home/vincent/hyper-simulation/simulation/README.md", "Markdown", 0, 0, 0, 32, 0, 0, 0, 0, 8, 40
"/home/vincent/hyper-simulation/simulation/pyproject.toml", "TOML", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/home/vincent/hyper-simulation/simulation/python/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/vincent/hyper-simulation/simulation/simulation.pyi", "Python", 8, 0, 0, 0, 0, 0, 0, 18, 9, 35
"/home/vincent/hyper-simulation/simulation/src/graph/mod.rs", "Rust", 0, 0, 0, 0, 0, 10, 0, 0, 4, 14
"/home/vincent/hyper-simulation/simulation/src/graph/networkx_graph.rs", "Rust", 0, 0, 0, 0, 0, 482, 0, 32, 96, 610
"/home/vincent/hyper-simulation/simulation/src/lib.rs", "Rust", 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"/home/vincent/hyper-simulation/simulation/src/utils.rs", "Rust", 0, 0, 0, 0, 0, 1, 0, 0, 2, 3
"/home/vincent/hyper-simulation/simulation/tests/test_simulation.py", "Python", 51, 0, 0, 0, 0, 0, 0, 5, 19, 75
"/home/vincent/hyper-simulation/src/contrievers/__init__.py", "Python", 117, 0, 0, 0, 0, 0, 0, 2, 18, 137
"/home/vincent/hyper-simulation/src/contrievers/beir_utils.py", "Python", 180, 0, 0, 0, 0, 0, 0, 1, 28, 209
"/home/vincent/hyper-simulation/src/contrievers/data.py", "Python", 189, 0, 0, 0, 0, 0, 0, 4, 52, 245
"/home/vincent/hyper-simulation/src/contrievers/dist_utils.py", "Python", 91, 0, 0, 0, 0, 0, 0, 5, 33, 129
"/home/vincent/hyper-simulation/src/contrievers/evaluation.py", "Python", 115, 0, 0, 0, 0, 0, 0, 39, 38, 192
"/home/vincent/hyper-simulation/src/contrievers/finetuning_data.py", "Python", 148, 0, 0, 0, 0, 0, 0, 1, 24, 173
"/home/vincent/hyper-simulation/src/contrievers/inbatch.py", "Python", 64, 0, 0, 0, 0, 0, 0, 2, 25, 91
"/home/vincent/hyper-simulation/src/contrievers/index.py", "Python", 65, 0, 0, 0, 0, 0, 0, 12, 14, 91
"/home/vincent/hyper-simulation/src/contrievers/moco.py", "Python", 92, 0, 0, 0, 0, 0, 0, 10, 39, 141
"/home/vincent/hyper-simulation/src/contrievers/normalize_text.py", "Python", 98, 0, 0, 0, 0, 0, 0, 43, 22, 163
"/home/vincent/hyper-simulation/src/contrievers/options.py", "Python", 113, 0, 0, 0, 0, 0, 0, 6, 14, 133
